cntr_grnds_dstnc,frstn_grnds_dstnc,hr_unit_artmp,hr_unit_hum,hr_unit_wspd_info,growing_stock,forest_ratio,avg_growing_stock,t2m_mean_c,t2m_min_c,t2m_max_c,d2m_mean_c,d2m_min_c,d2m_max_c,u10_mean_ms,v10_mean_ms,wind_speed_mean,wind_dir_deg,tp_sum_mm,pev_sum_mm,ssrd_sum_jm2,ssrd_sum_mjm2,impute_radius,land,arrival_time_diff,dispatch_time_diff,golden_time_under_50min,is_night,month_rcpt,dspt_req_hr,fire_supesn_hr,ctpv_nm_gangwon,ctpv_nm_gyeonggi,ctpv_nm_gyeongnam,ctpv_nm_gyeongbuk,ctpv_nm_gwangju,ctpv_nm_daegu,ctpv_nm_daejeon,ctpv_nm_busan,ctpv_nm_seoul,ctpv_nm_sejong,ctpv_nm_ulsan,ctpv_nm_incheon,ctpv_nm_jeonnam,ctpv_nm_jeonbuk,ctpv_nm_jeju,ctpv_nm_chungnam,ctpv_nm_chungbuk,fclt_plc_sclsf_nm_public,fclt_plc_sclsf_nm_national,fclt_plc_sclsf_nm_private,fnd_igtn_pstn_nm_unknown,fnd_igtn_pstn_nm_under,fnd_igtn_pstn_nm_top,fnd_igtn_pstn_nm_middle,fnd_igtn_pstn_nm_plain,wndrct_brng_NONE,wndrct_brng_south,wndrct_brng_southeast,wndrct_brng_southwest,wndrct_brng_east,wndrct_brng_north,wndrct_brng_northeast,wndrct_brng_northwest,wndrct_brng_west
2.302585092994046,2.6390573296152584,11.7,43.0,1,1446127,34.45,156.58,4.425435543060303,-1.186614990234375,11.006744384765623,-3.4420166015625,-6.499603271484375,0.860504150390625,1.586984634399414,-0.9381211400032043,1.8435269594192505,300.58879233686787,0.1098850291798688,-128.46240234375,343754080.0,343.75408935546875,0,26810.0,6.584791392385716,4.672828834461906,1,0,3,2.005053130249077,7.1785454837637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.091042453358316,3.091042453358316,8.3,80.0,1,14582232,87.62,183.1,2.459564208984375,-5.222015380859375,9.484527587890623,-4.064219951629639,-20.26068115234375,6.886871337890625,2.3687288761138916,0.4879893362522125,2.4184727668762207,258.35917590284157,4.690523638018264,-39.45315933227539,108344512.0,108.34451293945312,0,90893.0,7.586803535162581,5.407171771460119,1,0,11,2.1362200787757395,9.46568002150671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3.4011973816621555,3.49650756146648,21.6,56.0,1,4892086,57.18,145.81,20.463552474975582,17.858551025390625,23.732574462890625,14.274810791015623,12.448150634765623,16.252105712890625,-0.7426846623420715,-3.054161071777344,3.1431641578674316,13.667421384647357,0.0,0.0,0.0,0.0,1,58674.0,5.564520407322694,4.74493212836325,1,0,9,1.7901636276798083,10.006359975456755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2.833213344056216,3.9318256327243257,3.8,98.0,3,17044910,81.47,174.05,7.812052249908447,3.214996337890625,13.792877197265623,2.394785642623902,0.284088134765625,4.358795166015625,1.5132719278335571,-0.8236021399497986,1.7228790521621704,298.55735626437814,0.0086805544602413,-85.24632263183594,287650208.0,287.65020751953125,0,120210.0,7.329093736246592,0.0,1,1,10,2.1197546550916515,8.34283980427146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2.6390573296152584,3.295836866004329,7.0,47.0,1,13946958,65.4,169.98,1.4937235116958618,-0.606292724609375,5.068756103515625,-3.6140949726104736,-6.022308349609375,-0.873626708984375,0.585536003112793,-0.905034363269806,1.0779330730438232,327.09808025111585,0.3861860075071981,-49.3760871887207,203519408.0,203.5194091796875,0,125461.0,6.860663671448287,0.0,1,0,12,2.0618710394475777,8.250097752572845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2.1972245773362196,2.1972245773362196,16.8,44.0,1,4076708,63.02,168.44,10.337890625,5.388336181640625,16.466949462890625,4.914408206939697,3.563629150390625,6.002105712890625,1.0020620822906494,-0.942432463169098,1.375611662864685,313.24352546548783,0.0085468444878192,-313.2886962890625,293594880.0,293.5948791503906,0,38406.0,6.876264611890766,4.219507705176107,1,0,10,2.0547151639024506,8.494743062578646,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,3.4657359027997265,14.8,60.0,1,13946958,65.4,169.98,9.725728034973145,5.267974853515625,14.010162353515623,3.181264162063598,1.578033447265625,4.205718994140625,2.448967456817627,-1.0453733205795288,2.6627519130706787,293.115837365792,0.0246260588822871,-115.2228012084961,287533280.0,287.5332946777344,0,125461.0,6.586171654854675,4.394449154672439,1,0,10,2.0107946349110515,8.540909718033554,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.4849066497880004,2.5649493574615367,20.0,43.0,1,7676543,56.66,181.11,12.854960441589355,8.360260009765625,17.478424072265625,5.133087158203125,3.417633056640625,7.191070556640625,1.246651291847229,-2.8808021545410156,3.13897442817688,336.59971724794235,0.0095642478009567,-309.889404296875,306598176.0,306.5981750488281,0,74806.0,7.007600613951853,4.219507705176107,1,0,10,2.0725492271204273,8.167919362957816,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.0986122886681098,2.4849066497880004,8.9,47.0,1,9864674,69.89,160.82,4.156636714935303,-1.867279052734375,10.961334228515623,-2.403350830078125,-4.722503662109375,0.843170166015625,1.2267907857894895,-0.2902890741825104,1.2606678009033203,283.3127391096972,0.4896873867126689,-86.51683044433594,300522752.0,300.52276611328125,0,87769.0,6.42648845745769,4.276666119016055,1,0,3,1.9884835875196611,8.10832229017324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.5649493574615367,2.6390573296152584,18.8,26.0,1,9648148,75.79,175.47,9.86827564239502,5.719879150390625,14.895172119140623,0.7742919921875,-0.442718505859375,5.413726806640625,0.0177109241485595,-0.2170104533433914,0.2177319824695587,355.3342470946754,0.5083699395121567,-168.6836395263672,231044032.0,231.0440368652344,0,72550.0,6.81783057145415,0.0,1,0,11,2.0564070955388662,11.447148844370398,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
