DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
356,7,215,7,2,-1.0,0,0,1,15.0,2.0,8,13.0,1,429.0,0,4,73.0,10.072132678513839,5.877735781779639,2.0794415416798357,1.0986122886681098,-inf,6.063785208687608,4.30406509320417
460,1,125,10,10,3.0,2,2,1,-3.2,2.0,2,35.0,1,548.0,0,2,88.0,6.2166061010848646,6.133398042996649,2.3978952727983707,2.3978952727983707,1.3862943611198906,6.3080984415095305,4.48863636973214
527,9,0,10,8,-1.0,2,2,3,17.3,2.0,7,60.0,1,751.0,0,10,224.0,7.392031567514591,6.269096283706261,2.3978952727983707,2.1972245773362196,-inf,6.62273632394984,5.41610040220442
305,7,62,3,1,-1.0,2,2,1,14.9,2.0,7,47.0,1,396.0,0,10,91.0,6.688354713946762,5.723585101952381,1.3862943611198906,0.6931471805599453,-inf,5.983936280687191,4.5217885770490405
334,1,114,1,1,-1.0,0,0,3,-1.5,2.0,4,99.0,1,369.0,1,3,35.0,6.208590026096629,5.814130531825066,0.6931471805599453,0.6931471805599453,-inf,5.91350300563827,3.58351893845611
1016,12,58,14,12,5.0,2,2,3,8.6,2.0,7,25.0,1,1096.0,0,1,80.0,8.908694592507015,6.92461239604856,2.70805020110221,2.5649493574615367,1.791759469228055,7.00033446027523,4.394449154672439
657,1,109,18,7,-1.0,2,2,1,26.0,2.0,5,98.0,1,757.0,0,7,100.0,6.6039438246004725,6.489204931325317,2.9444389791664403,2.0794415416798357,-inf,6.630683385642372,4.61512051684126
868,7,83,8,6,-1.0,2,2,3,5.3,2.0,7,23.0,1,898.0,0,2,30.0,8.685584842676693,6.767343125265392,2.1972245773362196,1.9459101490553132,-inf,6.80128303447162,3.4339872044851463
3681,2,201,30,25,-1.0,2,2,4,7.4,10.5,8,71.0,0,3922.0,0,3,241.0,7.106606137727303,8.211211361793023,3.4339872044851463,3.258096538021482,-inf,8.274611946209552,5.488937726156687
222,3,151,47,1,-1.0,2,2,3,10.6,2.0,2,61.0,1,267.0,0,12,45.0,6.12029741895095,5.407171771460119,3.871201010907891,0.6931471805599453,-inf,5.5909869805108565,3.828641396489095
208,12,129,10,10,3.0,2,2,1,26.0,2.0,3,63.0,1,298.0,0,6,90.0,7.795646536334594,5.342334251964811,2.3978952727983707,2.3978952727983707,1.3862943611198906,5.700443573390687,4.51085950651685
192,1,218,10,10,3.0,2,2,3,27.1,2.0,3,63.0,1,321.0,0,6,129.0,6.934397209928558,5.262690188904886,2.3978952727983707,2.3978952727983707,1.3862943611198906,5.7745515455444085,4.867534450455582
363,11,8,12,1,-1.0,2,2,3,30.4,6.5,2,38.0,1,417.0,0,7,54.0,7.51479976048867,5.8971538676367405,2.5649493574615367,0.6931471805599453,-inf,6.035481432524756,4.007333185232471
254,0,168,18,18,1.0,2,2,3,29.0,2.0,1,21.0,1,309.0,0,6,55.0,8.901775088607979,5.541263545158426,2.9444389791664403,2.9444389791664403,0.6931471805599453,5.736572297479192,4.02535169073515
300,15,92,20,15,4.0,2,2,4,28.2,6.5,4,42.0,1,422.0,0,7,122.0,6.493753839851686,5.707110264748875,3.044522437723423,2.772588722239781,1.6094379124341003,6.0473721790462776,4.812184355372417
362,1,123,6,2,-1.0,2,2,1,12.9,2.0,1,20.0,1,429.0,0,3,67.0,6.960347729101308,5.8944028342648505,1.9459101490553132,1.0986122886681098,-inf,6.063785208687608,4.219507705176107
1011,12,219,9,5,-1.0,2,2,3,10.0,2.0,7,10.0,1,1125.0,0,1,114.0,7.543273346705446,6.919683849847411,2.302585092994046,1.791759469228055,-inf,7.026426808699636,4.74493212836325
892,15,111,7,7,-1.0,1,1,3,14.9,2.0,8,29.0,1,965.0,0,4,73.0,10.367661723458307,6.794586580876499,2.0794415416798357,2.0794415416798357,-inf,6.873163834212518,4.30406509320417
575,1,121,5,5,-1.0,2,2,1,25.1,2.0,3,60.0,1,719.0,0,9,144.0,6.62273632394984,6.3561076606958915,1.791759469228055,1.791759469228055,-inf,6.579251212010101,4.976733742420574
1297,10,82,11,8,-1.0,2,2,3,23.2,6.5,1,68.0,1,1347.0,0,5,50.0,6.976348070447749,7.168579897264035,2.4849066497880004,2.1972245773362196,-inf,7.206377291472252,3.9318256327243257
321,1,202,19,2,-1.0,1,1,2,19.3,2.0,4,87.0,1,399.0,1,9,78.0,8.579792333172758,5.7745515455444085,2.995732273553991,1.0986122886681098,-inf,5.991464547107982,4.3694478524670215
703,1,128,4,4,-1.0,2,2,1,9.2,2.0,6,36.0,1,787.0,0,3,84.0,6.2324480165505225,6.556778356158042,1.6094379124341003,1.6094379124341003,-inf,6.669498089857879,4.442651256490317
642,1,160,8,8,14.0,1,1,1,0.0,-1.0,0,0.0,1,702.0,0,3,60.0,7.330405211844402,6.466144724237619,2.1972245773362196,2.1972245773362196,2.70805020110221,6.555356891810665,4.110873864173311
1100,3,206,12,7,-1.0,2,2,2,27.0,6.5,8,30.0,1,1134.0,0,4,34.0,8.144679183447758,7.00397413672268,2.5649493574615367,2.0794415416798357,-inf,7.034387929915503,3.5553480614894135
