WRINV_NO,FIRE_TYPE_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
190617214559655,임야,,,0,0,0,1182,월,화성소방서,남양119안전센터,20190617172910,20190617173108,20190617175409,20190617180631,20190617181043,20190617191800,1381,994,경기도,화성시,25,19,13.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",건초,,,"종이,목재,건초등",나무,임야,산불,사유림,,N,N,N,사유림,산아래,23.3,0~4 m/s,서,56.0
191222182446712,임야,,,0,0,0,0,일,금산소방서,금산119안전센터,20191222152319,20191222152405,20191222152845,20191222155036,20191222162036,20191222164545,280,3111,충청남도,금산군,18,18,4.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,국유림,,N,N,N,국유림,산아래,9.1,0~4 m/s,남동,50.0
191110183138297,임야,,,0,0,0,110,토,남원소방서,인월119안전센터,20191109154506,20191109154535,20191109155720,20191109162248,20191109163531,20191109165519,705,2291,전북특별자치도,남원시,30,7,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등",나무,임야,산불,사유림,,N,N,N,사유림,평지,15.0,0~4 m/s,남동,42.0
191031154610232,임야,고체연료,화학연료,0,0,0,132,목,광산소방서,평동119안전센터,20191031112917,20191031113017,20191031114605,20191031125002,20191031132021,20191031135710,948,5656,광주광역시,광산구,17,7,0.0,화학적 발화열,화학적 발화열,화학적 요인,화학적 폭발,"종이,목재,건초등","풀, 나뭇잎",기타,기타,"종이,목재,건초등","풀, 나뭇잎",임야,산불,국유림,,N,N,N,국유림,산중턱,17.1,0~4 m/s,동,57.0
191214212528122,임야,,,0,0,0,148,토,논산소방서,연산119안전센터,20191214160257,20191214160440,20191214162643,20191214163050,20191214173050,20191214205950,1323,3847,충청남도,논산시,30,18,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,7.6,0~4 m/s,북,0.0
190225170925770,임야,,,0,0,0,2750,월,임실소방서,임실119안전센터,20190225152904,20190225153004,20190225153405,20190225160534,20190225165034,20190225170034,241,4589,전북특별자치도,임실군,34,4,0.0,"불꽃, 불티","불꽃, 불티",부주의,"논,임야태우기",기타,기타,,,"종이,목재,건초등",나무,임야,산불,사유림,,N,N,N,사유림,산아래,11.8,0~4 m/s,북,27.0
190709233910805,임야,,,0,0,0,1969,화,영월소방서,영월119안전센터,20190709183907,20190709184018,20190709184618,20190709185525,20190709200725,20190709231000,360,4867,강원특별자치도,영월군,9,9,4.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,23.4,0~4 m/s,동,52.0
190129184547078,임야,,,0,0,0,3267,화,고령소방서,대가야119안전센터,20190129141550,20190129141755,20190129143822,20190129155026,20190129155628,20190129163058,1227,4686,경상북도,고령군,15,15,15.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산정상,8.4,0~4 m/s,남서,24.0
190309165911424,임야,,,0,0,0,77,토,태안소방서,안면119안전센터,20190309120900,20190309121008,20190309122000,20190309124530,20190309133000,20190309143000,592,4200,충청남도,태안군,27,6,0.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,공유림,,N,N,N,공유림,산아래,10.7,0~4 m/s,남서,29.0
190821081927749,임야,유류,가솔린,0,0,0,275,수,성남소방서,상대원119안전센터,20190821070307,20190821070418,20190821071205,20190821072442,20190821072442,20190821073052,467,757,경기도,성남시 중원구,4,3,0.0,"불꽃, 불티","불꽃, 불티",부주의,유류 취급중,위험물등,제1류 위험물,생활기기,소독기,,,임야,산불,국유림,,N,N,N,국유림,산중턱,23.8,0~4 m/s,남동,70.0
